"Column1","Column 2","Telugu","English","Sentences made","",""
"Na Location nundi samipa Cab enta duranlo undi?","నా Location నుండి సమీప Cab ఎంత దూరంలో ఉంది?","esindu","","","",""
"Rajesh ki phone cheyyi","Rajesh కి phone చెయ్యి","chustunarra","","","",""
"Na shopping list lo emundi?","నా Shopping list లో ఏముంది?","cheste","","","",""
"eroju news cheppandi.","ఈరోజు news చెప్పండి","ledhu","","","",""
"Na Spotify Playlist nundi sangitanni play cheyandi.","నా Spotify playlist నుండి సంగీతాన్ని play చేయండి.
","anni","","","",""
"Naku samipanlo unna Restaurant lo gurinci cheppandi.","నాకు సమీపంలో ఉన్న Restaurant ల గురించి చెప్పండి.","","","","",""
"Ninna jarigina F1 race et Baku evaru gelicharu?","నిన్న జరిగిన F1 race ఎట్ Baku ఎవరు గెలిచారు?","","","","",""
"uttama natudiga the highest Oscar Awards evaru gelucukunnaru?","ఉత్తమ నటుడిగా the highest Oscar Awards ఎవరు గెలుచుకున్నారు?","","","","",""
"vakayanni anuvadincu ""How are you?"" Telugu ku","వాక్యాన్ని అనువదించు ""How are you?"" Telugu కు.","","","","",""
"Top Gun Maverick cuputunna samipa Theater cheppandi.","Top Gun Maverick చూపుతున్న సమీప Theater చెప్పండి","","","","",""
"eroju nenu enni steps nadichanu?","ఈరోజు నేను ఎన్ని steps నడిచాను?","","","","",""
"Office nundi intiki navigate cheyandi","Office నుండి ఇంటికి navigate చేయండి","","","","",""
"pathasalaku traffic ela undi?","పాఠశాలకు traffic ఎలా ఉంది?","","","","",""
"Sunday ammaku phone cheyamani naku gurtu cheyandi.","Sunday అమ్మకు phone చేయమని నాకు గుర్తు చేయండి","","","","",""
"Indigo Flight 6E 2467 eroju samayaniki unda?","Indigo Flight 6E 2467 ఈరోజు సమయానికి ఉందా?","","","","",""
"Nifty Index ela undi?","Nifty Index ఎలా ఉంది?","","","","",""
"meeru bitcoin invest pettara ?","మీరు bitcoin invest పెట్టారా ?","","","","",""
"Your vacations eppudu mugustayi ? ","Your vacations ఎప్పుడు ముగుస్తాయి ? ","","","","",""
"Have you neṭi ata seen ?","Have you నేటి ఆట seen ?","","","","",""
"Miku family visa unda ? ","మీకు family visa ఉందా  ? ","","","","",""
"Do you janthuvulu ante like ? ","Do you జంతువులంటే  like ?","","","","",""
"Which are kalejilo you in ? ","Which are కాలేజీలో  you in ?","","","","",""
"How taracugā meeru exercise chestaru ?","How తరచుగా మీరు exercise చేస్తారు ?","","","","",""
"Samipanloni oka mannci dukanam named Lulu Hypermarket","సమీపంలోని ఒక మంచి దుకాణం named Lulu Hypermarket","","","","",""
"Sarikotta Telugu cinema trailer chusara ?","సరికొత్త తెలుగు Telugu cinema trailer చూశారా ?","","","","",""
"Miru bengaluruku any flight prayanistunnaru ? ","రు బెంగళూరుకు any flight ప్రయాణిస్తున్నారు? ","","","","",""
"Miru RCB fan kada ?","మీరు RCB fan కదా ?","","","","",""
"Miru this weekend hiking kosam mato cheralanukuntunnara ? ","మీరు this weekend hiking హైకింగ్ కోసం మాతో చేరాలనుకుంటున్నారా ? ","","","","",""
"Miru rojulo how many hours nidrapotaru ? ","మీరు రోజులో how many hours నిద్రపోతారు ? ","","","","",""
"Naku web developer kavalane interest undi","నాకు web developer కావాలనే interest ఉంది","","","","",""
"Kriketlo yorker delivery edurkovadam cala difficult","క్రికెట్‌లో yorker delivery ఎదుర్కోవడం చాలా difficult","","","","",""
"Earth nundi Moon enta duranlo unnadu?","Earth నుండి Moon ఎంత దూరంలో ఉన్నాడు?","","","","",""
"Vegavantamaina Animal edi?","వేగవంతమైన Animal ఏది?","","","","",""
"Burger lo enni Calories unnayi?","Burger లో ఎన్ని Calories ఉన్నాయి?","","","","",""
"Naku samipanlo unna Five Star restarentni perkonandi","నాకు సమీపంలో ఉన్న Five Star రెస్టారెంట్‌ని పేర్కొనండి","","","","",""
"E year Bonalu panduga eppudu?","ఈ year Bonalu పండుగ ఎప్పుడు?","","","","",""
"Gata year Ballon D'Or evaru geluchukunnaru?","గత year Ballon D'Or ఎవరు గెలుచుకున్నారు?","","","","",""
"IPL lo CSK ki enni trophilu unnayi?","IPL లో CSK కి ఎన్ని ట్రోఫీలు ఉన్నాయి?","","","","",""
"Andorra rajadhani edi?","Andorra రాజధాని ఏది?","","","","",""
"Naku oka Joke cheppandi.","నాకు ఒక Joke చెప్పండి","","","","",""
"LIC stock prastula share dhara enta?","LIC stock ప్రస్తుత share ధర ఎంత?","","","","",""
"Nenu sandarsincadaniki samipanloni National Park edi?","నేను సందర్శించడానికి సమీపంలోని National Park ఏది?","","","","",""
"Hyderabad nundi Muscat roju enni flights unnayi?","Hyderabad నుండి Muscat రోజూ ఎన్ని flights ఉన్నాయి?","","","","",""
"Bugatti Chiron dhara rupayallo enta?","Bugatti Chiron ధర రూపాయల్లో ఎంత?","","","","",""
"Na Sony Mach 4 Camera kosam nenu SD Card ekkada kanugonagalanu?","నా Sony Mach 4 Camera కోసం నేను SD Card ఎక్కడ కనుగొనగలను?","","","","",""
"Lakshadweep lo varu e bhasa matladataru?","Lakshadweep లో వారు ఏ భాష మాట్లాడతారు?","","","","",""
"Spain jatiya Dish emiti?","Spain జాతీయ Dish ఏమిటి?","","","","",""
"India PM evaru?","India PM ఎవరు?","","","","",""
"pillala kosam Bangalore lo uttama football ground edi?","పిల్లల కోసం Bangalore లో ఉత్తమ football ground ఏది?","","","","",""
"Na intiki Indiranagar enta far?","నా ఇంటికి indiranagar ఎంత far?","","","","",""
"dayacesi Ashok ki Whatsapp dvara video call cheyandi.","దయచేసి Ashok కి Whatsapp ద్వారా video call చేయండి.","","","","",""
"chivaraga NBA finals mugisayi","చివరగా NBA finals ముగిశాయి","","","","",""
"Charlie 777 kukka nepathyanlo sage emotional movie","Charlie 777 కుక్క నేపథ్యంలో సాగే emotional movie","","","","",""
"Prati sanvatsaraṁ June 21 jarige Yoga day 2014 prarambhamaindi","ప్రతి సంవత్సరం June 21 జరిగే Yoga day 2014 ప్రారంభమైంది","","","","",""
"Qatar airport prapanncanloni atyuttama airports okati","Qatar airport ప్రపంచంలోని అత్యుత్తమ airports ఒకటి","","","","",""
"Chennai to Vellore roddu marganlo prayaincadaniki kanisam 2.5 hours padutundi","Chennai to Vellore రోడ్డు మార్గంలో ప్రయాణించడానికి కనీసం 2.5 hours పడుతుంది","","","","",""
"Sṭeph Curry nis'sandehanga NBA prati chusina atyuttama shooter","Sṭeph Curry నిస్సందేహంగా NBA ప్రతి చూసిన అత్యుత్తమ shooter","","","","",""
"Oka vyakti yokka everyday sariraka sramanu track ceyadanlo Smart watch chala helpful","ఒక వ్యక్తి యొక్క everyday శారీరక శ్రమను track చేయడంలో Smart watch చాలా helpful","","","","",""
"Guddu protein yokka wonderful mulam","గుడ్డు protein యొక్క wonderful మూలం","","","","",""
"Plastic vadakam paryavarananiki harmful","Plastic వాడకం పర్యావరణానికి harmful","","","","",""
"Yoga arogyaniki melu helpful","Yoga ఆరోగ్యానికి మేలు helpful","","","","",""
"Newcastle United Saudi Arabia yuvaraju svadhinam chesukunnaru","Newcastle United Saudi Arabia యువరాజు స్వాధీనం చేసుకున్నారు","","","","",""
"Ryan Trahan ane vyakti uttara amerika antata penni challenge chestunnadu","Ryan Trahan అనే వ్యక్తి ఉత్తర అమెరికా అంతటా పెన్నీ  challenge చేస్తున్నాడు","","","","",""
"","","","","","",""
"","","","","","",""
" ","","","","","",""
